Date,Carrier,Flight_Num,Origin,Dest,Scheduled Arrival Time,Scheduled departure time
4/19/2024,UA,538,ORD,SYR,9:47 PM,6:52 PM
4/19/2024,MQ,3402,ORD,SYR,10:52 PM,7:59 PM
4/19/2024,B6,116,JFK,SYR,2:51 PM,1:34 PM
4/19/2024,9E,5340,JFK,SYR,4:21 PM,2:55 PM
4/19/2024,WN,491,MCO,SYR,2:20 PM,11:35 AM
4/19/2024,B6,656,MCO,SYR,4:25 PM,1:35 PM
4/20/2024,UA,538,ORD,SYR,9:47 PM,6:52 PM
4/20/2024,MQ,3402,ORD,SYR,10:52 PM,7:59 PM
4/20/2024,B6,116,JFK,SYR,2:41 PM,1:25 PM
4/20/2024,9E,5340,JFK,SYR,4:21 PM,2:55 PM
4/20/2024,B6,656,MCO,SYR,4:25 PM,1:35 PM
4/21/2024,UA,538,ORD,SYR,9:47 PM,6:52 PM
4/21/2024,MQ,3402,ORD,SYR,10:52 PM,7:59 PM
4/21/2024,B6,116,JFK,SYR,2:51 PM,1:35 PM
4/21/2024,9E,5340,JFK,SYR,4:21 PM,2:55 PM
4/21/2024,WN,491,MCO,SYR,1:50 PM,11:05 AM
4/21/2024,B6,656,MCO,SYR,4:25 PM,1:35 PM
4/22/2024,UA,538,ORD,SYR,9:47 PM,6:52 PM
4/22/2024,MQ,3402,ORD,SYR,10:52 PM,7:59 PM
4/22/2024,B6,116,JFK,SYR,2:51 PM,1:35 PM
4/22/2024,9E,5340,JFK,SYR,4:21 PM,2:55 PM
4/22/2024,WN,491,MCO,SYR,2:20 PM,11:35 AM
4/22/2024,B6,656,MCO,SYR,4:25 PM,1:34 PM
